"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","PM15Median","PM15Minimum","PM15Maximum","PM15NumPts","PM15MAD","PM15finalQF","PM10Median","PM10Minimum","PM10Maximum","PM10NumPts","PM10MAD","PM10finalQF","PM4Median","PM4Minimum","PM4Maximum","PM4NumPts","PM4MAD","PM4finalQF","PM2.5Median","PM2.5Minimum","PM2.5Maximum","PM2.5NumPts","PM2.5MAD","PM2.5finalQF","PM1Median","PM1Minimum","PM1Maximum","PM1NumPts","PM1MAD","PM1finalQF","PM15sub50RHMedian","PM15sub50RHMinimum","PM15sub50RHMaximum","PM15sub50RHNumPts","PM15sub50RHMAD","PM15sub50RHfinalQF","PM15sub50RHfinalQFSciRvw","PM10sub50RHMedian","PM10sub50RHMinimum","PM10sub50RHMaximum","PM10sub50RHNumPts","PM10sub50RHMAD","PM10sub50RHfinalQF","PM4sub50RHMedian","PM4sub50RHMinimum","PM4sub50RHMaximum","PM4sub50RHNumPts","PM4sub50RHMAD","PM4sub50RHfinalQF","PM2.5sub50RHMedian","PM2.5sub50RHMinimum","PM2.5sub50RHMaximum","PM2.5sub50RHNumPts","PM2.5sub50RHMAD","PM2.5sub50RHfinalQF","PM1sub50RHMedian","PM1sub50RHMinimum","PM1sub50RHMaximum","PM1sub50RHNumPts","PM1sub50RHMAD","PM1sub50RHfinalQF","PM1sub50RHfinalQFSciRvw"
"D10","RMNP","000","050","2017-12-09T08:00:00Z","2017-12-09T08:30:00Z",0.001,0.001,0.019,120,0,1,0.001,0.001,0.019,120,0,1,0.001,0.001,0.012,120,0,1,0.001,0.001,0.011,120,0,1,0.001,0.001,0.011,120,0,1,0.001,0.001,0.019,120,0,1,NA,0.001,0.001,0.019,120,0,1,0.001,0.001,0.012,120,0,1,0.001,0.001,0.011,120,0,1,0.001,0.001,0.011,120,0,1,NA
"D10","RMNP","000","050","2017-12-09T08:30:00Z","2017-12-09T09:00:00Z",0.001,0.001,0.014,123,0,1,0.001,0.001,0.006,123,0,1,0.001,0.001,0.004,123,0,1,0.001,0.001,0.004,123,0,1,0.001,0.001,0.004,123,0,1,0.001,0.001,0.014,123,0,1,NA,0.001,0.001,0.006,123,0,1,0.001,0.001,0.004,123,0,1,0.001,0.001,0.004,123,0,1,0.001,0.001,0.004,123,0,1,NA
"D10","RMNP","000","050","2017-12-09T09:00:00Z","2017-12-09T09:30:00Z",0.001,0.001,0.008,192,0,1,0.001,0.001,0.008,192,0,1,0.001,0.001,0.002,192,0,1,0.001,0.001,0.002,192,0,1,0.001,0.001,0.002,192,0,1,0.001,0.001,0.008,192,0,1,NA,0.001,0.001,0.008,192,0,1,0.001,0.001,0.002,192,0,1,0.001,0.001,0.002,192,0,1,0.001,0.001,0.002,192,0,1,NA
"D10","RMNP","000","050","2017-12-09T09:30:00Z","2017-12-09T10:00:00Z",0.001,0.001,0.017,155,0,1,0.001,0.001,0.009,155,0,1,0.001,0.001,0.007,155,0,1,0.001,0.001,0.007,155,0,1,0.001,0.001,0.007,155,0,1,0.001,0.001,0.017,155,0,1,NA,0.001,0.001,0.009,155,0,1,0.001,0.001,0.007,155,0,1,0.001,0.001,0.007,155,0,1,0.001,0.001,0.007,155,0,1,NA
"D10","RMNP","000","050","2017-12-09T10:00:00Z","2017-12-09T10:30:00Z",0.001,0.001,0.01,118,0,1,0.001,0.001,0.004,118,0,1,0.001,0.001,0.001,118,0,1,0.001,0.001,0.001,118,0,1,0.001,0.001,0.001,118,0,1,0.001,0.001,0.01,118,0,1,NA,0.001,0.001,0.004,118,0,1,0.001,0.001,0.001,118,0,1,0.001,0.001,0.001,118,0,1,0.001,0.001,0.001,118,0,1,NA
"D10","RMNP","000","050","2017-12-09T10:30:00Z","2017-12-09T11:00:00Z",0.001,0.001,0.007,108,0,1,0.001,0.001,0.007,108,0,1,0.001,0.001,0.004,108,0,1,0.001,0.001,0.004,108,0,1,0.001,0.001,0.004,108,0,1,0.001,0.001,0.007,108,0,1,NA,0.001,0.001,0.007,108,0,1,0.001,0.001,0.004,108,0,1,0.001,0.001,0.004,108,0,1,0.001,0.001,0.004,108,0,1,NA
"D10","RMNP","000","050","2017-12-09T11:00:00Z","2017-12-09T11:30:00Z",0.001,0.001,0.014,163,0,1,0.001,0.001,0.008,163,0,1,0.001,0.001,0.005,163,0,1,0.001,0.001,0.005,163,0,1,0.001,0.001,0.005,163,0,1,0.001,0.001,0.014,163,0,1,NA,0.001,0.001,0.008,163,0,1,0.001,0.001,0.005,163,0,1,0.001,0.001,0.005,163,0,1,0.001,0.001,0.005,163,0,1,NA
"D10","RMNP","000","050","2017-12-09T11:30:00Z","2017-12-09T12:00:00Z",0.001,0.001,0.012,178,0,1,0.001,0.001,0.012,178,0,1,0.001,0.001,0.003,178,0,1,0.001,0.001,0.003,178,0,1,0.001,0.001,0.003,178,0,1,0.001,0.001,0.012,178,0,1,NA,0.001,0.001,0.012,178,0,1,0.001,0.001,0.003,178,0,1,0.001,0.001,0.003,178,0,1,0.001,0.001,0.003,178,0,1,NA
"D10","RMNP","000","050","2017-12-09T12:00:00Z","2017-12-09T12:30:00Z",0.001,0.001,0.003,177,0,1,0.001,0.001,0.003,177,0,1,0.001,0.001,0.001,177,0,1,0.001,0.001,0.001,177,0,1,0.001,0.001,0.001,177,0,1,0.001,0.001,0.003,177,0,1,NA,0.001,0.001,0.003,177,0,1,0.001,0.001,0.001,177,0,1,0.001,0.001,0.001,177,0,1,0.001,0.001,0.001,177,0,1,NA
"D10","RMNP","000","050","2017-12-09T12:30:00Z","2017-12-09T13:00:00Z",0.001,0.001,0.008,274,0,1,0.001,0.001,0.007,274,0,1,0.001,0.001,0.007,274,0,1,0.001,0.001,0.007,274,0,1,0.001,0.001,0.007,274,0,1,0.001,0.001,0.008,274,0,1,NA,0.001,0.001,0.007,274,0,1,0.001,0.001,0.007,274,0,1,0.001,0.001,0.007,274,0,1,0.001,0.001,0.007,274,0,1,NA
